mol% SiO2,mol%Na2O,mol%K2O,Tg (K),T (K) ,viscosity (Pa s)
100,0,0,1480,2755,2.53
100,0,0,1480,2655,2.92
100,0,0,1480,2541,3.36
100,0,0,1480,2441,3.8
100,0,0,1480,2334,4.25
100,0,0,1480,2237,4.79
100,0,0,1480,2143,5.36
100,0,0,1480,2049,5.9
100,0,0,1480,1925,6.79
100,0,0,1480,1872,7.08
100,0,0,1480,1711,8.48
100,0,0,1480,1648,8.97
100,0,0,1480,1579,9.95
100,0,0,1480,1523,10.4
100,0,0,1480,1465,11.15
100,0,0,1480,1673,8.81
100,0,0,1480,1573,10.22
100,0,0,1480,1473,11.83
100,0,0,1480,1373,13.65
100,0,0,1480,1273,15.82
85,15,0,777,915,8.54
85,15,0,777,895,8.98
85,15,0,777,875,9.43
85,15,0,777,855,9.91
85,15,0,777,835,10.41
85,15,0,777,1623,1.76
85,15,0,777,1673,1.56
85,15,0,777,1723,1.38
85,15,0,777,1773,1.21
85,15,0,777,1823,1.08
85,15,0,777,1873,0.89
82.5,17.5,0,761,848,9.02
82.5,17.5,0,761,837.1,9.29
82.5,17.5,0,761,826.7,9.63
82.5,17.5,0,761,815.9,9.94
82.5,17.5,0,761,805.3,10.29
82.5,17.5,0,761,792.2,10.77
82.5,17.5,0,761,781.1,11.17
82.5,17.5,0,761,774.4,11.3
82.5,17.5,0,761,770.7,11.56
82.5,17.5,0,761,764.3,11.8
82.5,17.5,0,761,754,12.27
82.5,17.5,0,761,742.3,12.95
82.5,17.5,0,761,731.7,13.46
82.5,17.5,0,761,721.1,14.13
82.5,17.5,0,761,1623,1.47
82.5,17.5,0,761,1673,1.28
82.5,17.5,0,761,1723,1.11
82.5,17.5,0,761,1773,0.95
80,20,0,753,703,14.5
80,20,0,753,718,13.75
80,20,0,753,726,13.32
80,20,0,753,727,13.29
80,20,0,753,740,12.58
80,20,0,753,758,12
80,20,0,753,754,11.98
80,20,0,753,761,11.63
80,20,0,753,765,11.45
80,20,0,753,774,11.05
80,20,0,753,777,10.9
80,20,0,753,788,10.58
80,20,0,753,789,10.54
80,20,0,753,800,10.12
80,20,0,753,801,10.08
80,20,0,753,810,9.83
80,20,0,753,815,9.56
80,20,0,753,816,9.54
80,20,0,753,824,9.33
80,20,0,753,824,9.29
80,20,0,753,828,9.2
80,20,0,753,836,8.98
80,20,0,753,1432,2.03
80,20,0,753,1478,1.8
80,20,0,753,1522,1.65
80,20,0,753,1584,1.44
80,20,0,753,1623,1.31
80,20,0,753,1665,1.17
80,20,0,753,1712,1.05
80,20,0,753,1759,0.91
75,25,0,737,1773,0.59
75,25,0,737,1723,0.73
75,25,0,737,1673,0.89
75,25,0,737,1623,1.03
75,25,0,737,1573,1.21
75,25,0,737,1523,1.38
75,25,0,737,1473,1.57
75,25,0,737,1423,1.77
75,25,0,737,807,9.12
75,25,0,737,801,9.31
75,25,0,737,794,9.58
75,25,0,737,785,9.86
75,25,0,737,774,10.32
75,25,0,737,765,10.69
75,25,0,737,755,11.16
75,25,0,737,744,11.66
75,25,0,737,734,12.17
73,27,0,737,737,12
73,27,0,737,737,12
73,27,0,737,737,12
73,27,0,737,737,12
73,27,0,737,1423,1.64
73,27,0,737,1473,1.44
73,27,0,737,1523,1.27
73,27,0,737,1573,1.1
73,27,0,737,1623,0.95
73,27,0,737,1673,0.79
73,27,0,737,1723,0.66
73,27,0,737,1773,0.53
70,30,0,728,728,12
70,30,0,728,728,12
70,30,0,728,728,12
70,30,0,728,728,12
70,30,0,728,1373,1.71
70,30,0,728,1423,1.5
70,30,0,728,1473,1.3
70,30,0,728,1523,1.11
70,30,0,728,1573,0.94
70,30,0,728,1623,0.77
70,30,0,728,1673,0.62
70,30,0,728,1723,0.47
66.7,33.3,0,726,719,12.53
66.7,33.3,0,726,729,11.84
66.7,33.3,0,726,734,11.51
66.7,33.3,0,726,739,11.25
66.7,33.3,0,726,749,10.7
66.7,33.3,0,726,758,10.21
66.7,33.3,0,726,774,9.58
66.7,33.3,0,726,786,9.11
66.7,33.3,0,726,795,8.85
66.7,33.3,0,726,798,8.73
66.7,33.3,0,726,806,8.51
66.7,33.3,0,726,1152,2.92
66.7,33.3,0,726,1209,2.52
66.7,33.3,0,726,1261,2.22
66.7,33.3,0,726,1317,1.89
66.7,33.3,0,726,1365,1.67
66.7,33.3,0,726,1415,1.45
66.7,33.3,0,726,1462,1.26
66.7,33.3,0,726,1517,1.05
66.7,33.3,0,726,1565,0.88
66.7,33.3,0,726,1597,0.8
66.7,33.3,0,726,1662,0.61
66.7,33.3,0,726,1707,0.43
66.7,33.3,0,726,1805,0.18
65,35,0,714,810,8
65,35,0,714,790,8.75
65,35,0,714,770,9.54
65,35,0,714,760,9.95
65,35,0,714,750,10.37
65,35,0,714,740,10.8
65,35,0,714,730,11.25
65,35,0,714,720,11.7
65,35,0,714,710,12.17
65,35,0,714,1373,1.42
65,35,0,714,1423,1.21
65,35,0,714,1473,1.01
65,35,0,714,1523,0.84
65,35,0,714,1573,0.67
65,35,0,714,1623,0.51
65,35,0,714,1673,0.36
65,35,0,714,1723,0.22
65,35,0,714,1773,0.08
60,40,0,699,684,12.9
60,40,0,699,691,12.53
60,40,0,699,702,11.92
60,40,0,699,710,11.36
60,40,0,699,715,11.02
60,40,0,699,725,10.51
60,40,0,699,734,10.06
60,40,0,699,743,9.64
60,40,0,699,752,9.25
60,40,0,699,763,8.81
60,40,0,699,1113,2.72
60,40,0,699,1170,2.27
60,40,0,699,1222,2
60,40,0,699,1304,1.55
60,40,0,699,1318,1.49
60,40,0,699,1319,1.45
60,40,0,699,1401,1.14
60,40,0,699,1444,0.97
60,40,0,699,1492,0.78
60,40,0,699,1563,0.54
92,0,8,828,970,8.1
92,0,8,828,955,8.46
92,0,8,828,940,8.83
92,0,8,828,910,9.6
92,0,8,828,880,10.43
92,0,8,828,850,11.31
92,0,8,828,830,11.94
89,0,11,792,885,9.03
89,0,11,792,860,9.77
89,0,11,792,840,10.4
89,0,11,792,810,11.39
89,0,11,792,780,12.47
89,0,11,792,1623,2.27
89,0,11,792,1673,2.07
89,0,11,792,1723,1.88
89,0,11,792,1773,1.72
89,0,11,792,1823,1.54
89,0,11,792,1873,1.38
82,0,18,769,770,11.96
82,0,18,769,800,10.87
82,0,18,769,830,9.86
82,0,18,769,860,8.91
82,0,18,769,890,8.04
82,0,18,769,1373,2.8
82,0,18,769,1423,2.62
82,0,18,769,1473,2.31
82,0,18,769,1523,2.09
82,0,18,769,1573,1.88
82,0,18,769,1623,1.78
82,0,18,769,1673,1.51
80,0,20,760,751,12.51
80,0,20,760,762,12.06
80,0,20,760,773,11.55
80,0,20,760,784,11.07
80,0,20,760,794,10.68
80,0,20,760,797,10.61
80,0,20,760,806,10.29
80,0,20,760,818,9.89
80,0,20,760,825,9.62
80,0,20,760,829,9.55
80,0,20,760,844,9.17
80,0,20,760,851,8.98
80,0,20,760,860,8.76
80,0,20,760,1373,2.75
80,0,20,760,1423,2.56
80,0,20,760,1473,2.26
80,0,20,760,1523,2.05
80,0,20,760,1573,1.84
80,0,20,760,1623,1.71
80,0,20,760,1673,1.46
75,0,25,750,834,9.01
75,0,25,750,829,9.18
75,0,25,750,814,9.61
75,0,25,750,803,9.94
75,0,25,750,799,10.09
75,0,25,750,788,10.5
75,0,25,750,780,10.81
75,0,25,750,774,11.07
75,0,25,750,773,11.07
75,0,25,750,763,11.52
75,0,25,750,756,11.74
75,0,25,750,752,11.95
75,0,25,750,1373,2.43
75,0,25,750,1423,2.18
75,0,25,750,1473,1.94
75,0,25,750,1523,1.65
75,0,25,750,1573,1.52
75,0,25,750,1623,1.31
75,0,25,750,1673,1.15
71,0,29,727,750,11.07
71,0,29,727,770,10.27
71,0,29,727,790,9.51
71,0,29,727,810,8.79
71,0,29,727,830,8.11
71,0,29,727,1373,2.26
71,0,29,727,1423,1.98
71,0,29,727,1473,1.76
71,0,29,727,1523,1.47
71,0,29,727,1573,1.34
71,0,29,727,1623,1.1
71,0,29,727,1673,0.97
66,0,34,721,725,11.76
66,0,34,721,745,10.63
66,0,34,721,765,9.57
66,0,34,721,775,9.06
66,0,34,721,1373,2.1
66,0,34,721,1423,1.83
66,0,34,721,1473,1.59
66,0,34,721,1523,1.35
66,0,34,721,1573,1.16
66,0,34,721,1623,0.92
66,0,34,721,1673,0.78
60,0,40,698,698,12
60,0,40,698,698,12
60,0,40,698,698,12
60,0,40,698,698,12
60,0,40,698,1373,1.9
60,0,40,698,1423,1.68
60,0,40,698,1473,1.35
60,0,40,698,1523,1.24
60,0,40,698,1573,0.9
60,0,40,698,1623,0.72
60,0,40,698,1673,0.5
77.1,18.7,4.1,710,710,12
77.1,18.7,4.1,710,730,11.17
77.1,18.7,4.1,710,750,10.39
77.1,18.7,4.1,710,770,9.65
77.1,18.7,4.1,710,790,8.95
77.1,18.7,4.1,710,810,8.29
75.8,12.9,11.3,705,710,11.81
75.8,12.9,11.3,705,730,11.03
75.8,12.9,11.3,705,750,10.29
75.8,12.9,11.3,705,770,9.59
75.8,12.9,11.3,705,790,8.93
75.8,12.9,11.3,705,810,8.29
76.8,6.6,16.6,721,710,12.44
76.8,6.6,16.6,721,730,11.62
76.8,6.6,16.6,721,750,10.86
76.8,6.6,16.6,721,770,10.13
76.8,6.6,16.6,721,790,9.44
76.8,6.6,16.6,721,810,8.78
82.5,14.3,3.2,731,730,12.05
82.5,14.3,3.2,731,755,11.2
82.5,14.3,3.2,731,780,10.41
82.5,14.3,3.2,731,805,9.67
82.5,14.3,3.2,731,830,8.97
82.5,14.3,3.2,731,855,8.32
82.8,10.2,7,729,730,11.96
82.8,10.2,7,729,755,11.09
82.8,10.2,7,729,780,10.28
82.8,10.2,7,729,805,9.52
82.8,10.2,7,729,830,8.8
82.8,10.2,7,729,855,8.13
83.2,4.8,12,739,740,11.96
83.2,4.8,12,739,765,11.09
83.2,4.8,12,739,790,10.28
83.2,4.8,12,739,815,9.51
83.2,4.8,12,739,840,8.79
83.2,4.8,12,739,855,8.38
66.1,31.1,2.8,680,680,12.00
66.1,31.1,2.8,680,705,10.95
66.1,31.1,2.8,680,730,9.97
66.1,31.1,2.8,680,755,9.05
66.1,31.1,2.8,680,780,8.20
66.1,31.1,2.8,680,805,7.40
67.2,26.3,6.5,664,670,11.75
67.2,26.3,6.5,664,695,10.78
67.2,26.3,6.5,664,720,9.88
67.2,26.3,6.5,664,745,9.04
67.2,26.3,6.5,664,770,8.26
67.2,26.3,6.5,664,795,7.52
66.8,17.8,15.4,665,670,11.77
66.8,17.8,15.4,665,695,10.78
66.8,17.8,15.4,665,720,9.85
66.8,17.8,15.4,665,745,8.98
66.8,17.8,15.4,665,770,8.17
66.8,17.8,15.4,665,795,7.41
63.6,8.4,28.1,673,680,11.71
63.6,8.4,28.1,673,705,10.70
63.6,8.4,28.1,673,730,9.75
63.6,8.4,28.1,673,755,8.86
63.6,8.4,28.1,673,780,8.03
63.6,8.4,28.1,673,805,7.26
